"","Title_LevelEndorcer","Endorcer1_ID","Skill_Name"
"1","5","567","Social Media "
"2","5","567","Marketing "
"3","5","567",NA
"4","5","567","Programming "
"5","5","567",".NET "
"6","5","567","XML "
"7","5","567","Business Strategy "
"8","5","567","Business Development "
"9","5","567","HTML "
"10","5","567","Executive Management "
"11","1","965","Business Consulting "
"12","1","965","C++ "
"13","1","965","Web Applications "
"14","1","965","Internal Audit "
"15","1","965","Internal Audit "
"16","1","965","Financial Analysis"
"17","1","965","Business Analysis "
"18","1","965","Technical Leadership "
"19","1","965","Fitness "
"20","1","965","AJAX "
"21","1","617","IT Strategy "
"22","1","617","Enterprise Software "
"23","1","617","Mobile Applications "
"24","1","617","Market Development "
"25","1","617","IT Strategy "
"26","1","617","Program Management "
"27","1","617","Market Development "
"28","1","617","Clinical Research "
"29","1","617","Product Development S"
"30","1","617","Mergers & Acquisitions "
"31","6","762","Software Project Management "
"32","6","762","P&L Management "
"33","6","762","Strategic Planning "
"34","6","762","Nutrition "
"35","6","762","HIPAA "
"36","6","762","Clinical Research "
"37","6","762","Product Marketing "
"38","6","762","Weight Loss Coaching "
"39","6","762","Healthcare"
"40","6","762","HL "
"41","6","254","AngularJS "
"42","6","254","Enterprise Architecture "
"43","6","254","SQL Server "
"44","6","254","Business Strategy "
"45","6","254","Inmation Technology "
"46","6","254","Leadership "
"47","6","254","Operational Excellence "
"48","6","254","Enterprise Architecture "
"49","6","254","Operational Excellence "
"50","6","254","Leadership Development "
"51","2","377","Require Analysis s"
"52","2","377","Business Strategy "
"53","2","377","Software Design "
"54","2","377","Leadership "
"55","2","377","Application Architecture "
"56","2","377","SDLC "
"57","2","377","Sales "
"58","2","377","Invest "
"59","2","377","Business Management "
"60","2","377","Strategy "
"61","2","376","Financial Analysis "
"62","2","376","Cardiology "
"63","2","376","Acquisition Integration "
"64","2","376","Team Building "
"65","2","376","Weight Loss Coaching "
"66","2","376","Product Management "
"67","2","376","Budgets "
"68","2","376","Microsoft Excel "
"69","2","376","Application Architecture "
"70","2","376","ALM "
"71","2","120","Business Strategy "
"72","2","120","Competitive Analysis "
"73","2","120","Software Design "
"74","2","120","Start-ups "
"75","2","120","Fitness "
"76","2","120","C++ "
"77","2","120","C++ "
"78","2","120","Business Development "
"79","2","120","Enterprise Software "
"80","2","120","DICOM"
"81","4","387",".NET "
"82","4","387","Financial Services "
"83","4","387","Product Marketing "
"84","4","387","Technical Leadership "
"85","4","387","Financial Services "
"86","4","387","Visual Basic "
"87","4","387","Cloud Computing "
"88","4","387","Cloud Computing "
"89","4","387","Public Speaking "
"90","4","387","Require Analysis s"
"91","1","630","Business Process Automation "
"92","1","630","Credit Risk "
"93","1","630","Data Analysis"
"94","1","630","Healthcare"
"95","1","630","Fitness "
"96","1","630","Lean Manufacturing "
"97","1","630","Programming "
"98","1","630","System Architecture"
"99","1","630","Invest "
"100","1","630","Web Services "
"101","6","489","UML "
"102","6","489","Risk Management "
