"","ID","Title_Level","l"
"1","219","1","PowerPoint"
"2","219","1","PowerPoint"
"3","219","1","Customer Service"
"4","219","1","Strategic Planning"
"5","219","1","Jasmine "
"6","470","4","Software Design Patterns"
"7","470","4","Functional Programming"
"8","470","4","Heroku"
"9","470","4","Strategic Planning "
"10","470","4","LIMS "
"11","172","1","Teamwork "
"12","172","1","Microsoft Excel"
"13","172","1","Javascript "
"14","172","1","Data Analysis"
"15","172","1","Enzyme "
"16","270","3","Motion Control"
"17","270","3","Django "
"18","270","3","Customer Service "
"19","270","3","Software Development "
"20","270","3","Servers "
"21","143","4","IntelliJ IDEA"
"22","143","4","Business Process Improvement "
"23","143","4","C++"
"24","143","4","Java EE"
"25","143","4","Servers "
"26","149","4","Redhat OpenShift"
"27","149","4","ITIL "
"28","149","4","Domain-Driven Design (DDD)"
"29","149","4","Qualitative Research "
"30","149","4","PMP"
"31","260","1","Research"
"32","260","1","Management"
"33","260","1","SQL "
"34","260","1","Jasmine "
"35","260","1","ReactJS "
"36","284","6","C++ "
"37","284","6","Inmation Technology "
"38","284","6",".Net Workflow "
"39","284","6","Web Services "
"40","284","6","Product Management "
"41","284","6","Strategy "
"42","284","6","Risk Management "
"43","284","6","UML "
"44","284","6","Healthcare"
"45","284","6","Mobile Applications "
"46","334","3","ESXi"
"47","334","3","CUDA"
"48","334","3","Windows Server  R "
"49","334","3","Standard Operating Procedure (SOP)"
"50","334","3","PLC Programming"
"51","235","3","Electronics "
"52","235","3","Windows  "
"53","235","3","Customer Service "
"54","235","3","Troubleshooting "
"55","235","3","Qt"
"56","438","6","C# "
"57","438","6","Integration "
"58","438","6","Fitness "
"59","438","6","ALM "
"60","438","6","EMR "
"61","438","6","Programming "
"62","438","6","Application Development "
"63","438","6",".NET "
"64","438","6","HIPAA "
"65","438","6","Nutrition "
"66","294","5","Partner Management "
"67","294","5","Partner Management "
"68","294","5","LIMS "
"69","294","5","Management Consulting "
"70","294","5","Cisco Technologies "
"71","294","5","Sales Enablement "
"72","294","5","Sybase "
"73","294","5","Medical Devices "
"74","294","5","Vendor Management "
"75","294","5","Genomics "
"76","241","5","Business Process Design "
"77","241","5","Business Process Re-engineering"
"78","241","5","Business Process Design "
"79","241","5","Software Engineering "
"80","241","5","SAP "
"81","241","5","SAP R/ "
"82","241","5","Bioinmatics "
"83","241","5","FDA "
"84","241","5","Managed Services "
"85","241","5","Investment Banking"
"86","217","1","Mathematical Modeling "
"87","217","1","Process Improvement"
"88","217","1","Enzyme "
"89","217","1","C++"
"90","217","1","HTML "
"91","466","2","Dreamweaver"
"92","466","2","Microsoft Office "
"93","466","2","Windows "
"94","466","2","Microsoft Office "
"95","466","2","COSO Framework "
"96","362","1","Web Development "
"97","362","1","ReactJS "
"98","362","1","Team Leadership"
"99","362","1","Github "
"100","362","1","Sinatra "
"101","118","4","Nonprofits     Nonprofits"
"102","118","4","Redhat OpenShift"
"103","118","4","Functional Programming"
"104","118","4","Site Reliability"
"105","118","4","Vaccines"
"106","459","5","Science "
"107","459","5","Team Leadership "
"108","459","5","Situational Leadership "
"109","459","5","Managed Care "
"110","459","5","SAP R/ "
"111","459","5","Trading Systems "
"112","459","5","Genomics "
"113","459","5","Genetics "
"114","459","5","Case Management "
"115","459","5","Lifesciences"
"116","394","4","Heroku"
"117","394","4","MVVM"
"118","394","4","JSON"
"119","394","4","Oracle"
"120","394","4","Testing"
"121","288","5","Microsoft Office"
"122","288","5","Wealth Management Services "
"123","288","5","Virtualization "
"124","288","5","Healthcare "
"125","288","5","Management Consulting "
"126","288","5","Data Mining "
"127","288","5","Sales Process "
"128","288","5","CFR Part"
"129","288","5","Agile Methodologies "
"130","288","5","IT Infrastructure Management "
"131","91","2","Microsoft Excel "
"132","91","2","Auditing "
"133","91","2","Require Management "
"134","91","2","Require Analysis "
"135","91","2","Microsoft Outlook "
"136","448","2",NA
"137","448","2","Financial Analysis "
"138","448","2","Data Analysis "
"139","448","2","Access"
"140","448","2","Microsoft PowerPoint "
"141","444","6",".Net Workflow "
"142","444","6","Banking "
"143","444","6","Strategy "
"144","444","6","Mergers & Acquisitions "
"145","444","6","VB.NET     VB.NET"
"146","444","6","Public Speaking "
"147","444","6","Marketing "
"148","444","6","Medical Imaging "
"149","444","6","jQuery UI "
"150","444","6","Scrum "
"151","383","6","DICOM"
"152","383","6","Agile "
"153","383","6","ASP.NET "
"154","383","6","Clinical Research "
"155","383","6","Operations Management "
"156","383","6","Architecture "
"157","383","6","Business Process Improvement "
"158","383","6","Business Development "
"159","383","6","Scrum "
"160","383","6","C++ "
"161","179","2","Software Documentation "
"162","179","2","Project Management"
"163","179","2","Sarbanes-Oxley "
"164","179","2","Management "
"165","179","2","Require Management "
"166","65","2","Systems Engineering "
"167","65","2","Active Directory"
"168","65","2","DoDAF "
"169","65","2","Microsoft PowerPoint "
"170","65","2","Require Management "
"171","307","3","VPN "
"172","307","3","Tortoise SVN"
"173","307","3","Real-time Data Acquisition"
"174","307","3","ElasticSearch "
"175","307","3","Git"
"176","8","1","C++"
"177","8","1","Enzyme "
"178","8","1","RSpec "
"179","8","1","C++"
"180","8","1","Public Speaking"
"181","86","4","Git"
"182","86","4","MVC"
"183","86","4","JSON"
"184","86","4","Vendor Management "
"185","86","4","Event Storming"
"186","317","4",NA
"187","317","4","Permance Tuning"
"188","317","4","Troubleshooting"
"189","317","4","MVC"
"190","317","4","Eclipse Memory Analyzer"
"191","336","1","TDD "
"192","336","1","Mathematical Modeling "
"193","336","1","ReactJS "
"194","336","1",NA
"195","336","1","Team Leadership"
"196","318","3","VMware Infrastructure"
"197","318","3","WPF Development"
"198","318","3","Management"
"199","318","3","Social Networking "
"200","318","3","Standard Operating Procedure (SOP)"
"201","144","2","HTML "
"202","144","2","Troubleshooting"
"203","144","2","Research "
"204","144","2","Avaya"
"205","144","2","Avaya"
"206","237","2","Outlook     Outlook"
"207","237","2","Outlook     Outlook"
"208","237","2","Microsoft Excel"
"209","237","2","Analysis "
"210","237","2","COSO Framework "
"211","51","3","Tortoise SVN"
"212","51","3","HTML "
"213","51","3","Computer Science "
"214","51","3","Visual Studio "
"215","51","3","Public Speaking "
"216","370","4","Competitive Intelligence"
"217","370","4","Research     Research"
"218","370","4","Business Process Improvement "
"219","370","4","Eclipse Memory Analyzer"
"220","370","4","OpenStack"
"221","128","3","Embedded Systems "
"222","128","3","Software Architectural Design "
"223","128","3","Windows Server  R "
"224","128","3","Electronics "
"225","128","3","Linux"
"226","181","4","IntelliJ IDEA"
"227","181","4","Testing"
"228","181","4","Oracle"
"229","181","4","BOSH"
"230","181","4","Management"
"231","290","2","HTML "
"232","290","2","Mac OS X "
"233","290","2","Require Management "
"234","290","2","Financial Analysis "
"235","290","2","Accounts Receivable "
"236","365","3","Consulting "
"237","365","3","VMware Infrastructure"
"238","365","3","Project Planning"
"239","365","3","SharePoint "
"240","365","3","Making Things Work "
"241","156","5","Biochemistry "
"242","156","5","Staff Development "
"243","156","5","Hospitals "
"244","156","5","Cisco Technologies "
"245","156","5","Strategic Partnerships "
"246","156","5","Pharmaceuticals "
"247","156","5","CFR Part"
"248","156","5","FDA "
"249","156","5","Selling "
"250","156","5","JCAHO "
"251","140","1","Ruby     Ruby"
"252","140","1","Sales"
"253","140","1","Git "
"254","140","1","Karma "
"255","140","1","Customer Service"
"256","12","5","Go-to-market Strategy "
"257","12","5","Molecular Biology "
"258","12","5","Business Analysis "
"259","12","5","Unified Communications "
"260","12","5","Partner Management "
"261","12","5","DNA sequencing "
"262","12","5","Computational Biology "
"263","12","5","Life Sciences "
"264","12","5","EMR"
"265","12","5","Enterprise Architecture "
"266","210","6","HTML "
"267","210","6","PACS "
"268","210","6","Marketing "
"269","210","6","Start-ups "
"270","210","6","Business Intelligence"
"271","210","6","HIPAA "
"272","210","6","Software Engineering"
"273","210","6","Analytical Skills "
"274","210","6","Strategic Partnerships "
"275","210","6","DICOM"
"276","208","4","Financial Modeling"
"277","208","4","Event Storming"
"278","208","4","Integration"
"279","208","4","Market Intelligence"
"280","208","4","Permance Tuning"
"281","496","2","Software Documentation "
"282","496","2","Research "
"283","496","2","Software Installation"
"284","496","2","Sarbanes-Oxley "
"285","496","2","Dreamweaver"
"286","90","1","Object-Oriented Programming (OOP) "
"287","90","1","SQL "
"288","90","1","Pair Programming "
"289","90","1","Sales"
"290","90","1","RSpec "
"291","158","1","C++"
"292","158","1","Microsoft Excel "
"293","158","1","Git "
"294","158","1","Microsoft Excel"
